index,query,function
0ABOVW,현재 공기질 모니터링 어떤지 알려줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,지금 공기질 모니터링 상태 확인하게 해주세요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기질 모니터링 상황 좀 보여줄래,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기질 모니터링 확인 필요해,"<function_IO>(timeframe=0, location=0)"
0ABOVW,실내 공기질 모니터링 창을 열어줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기질 모니터링 기능 켜줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,오늘 공기 모니터링,"<function_IO>(timeframe=0, location=0)"
0ABOVW,오늘 여기에 공기가 나쁠까,"<function_IO>(timeframe=0, location=0)"
0ABOVW,실시간 공기질 모니터링 띄워줄래,"<function_IO>(timeframe=0, location=0)"
0ABOVW,각 방마다 공기 상태가 어떤지 나한테 보여줄 수 있어,"<function_IO>(timeframe=0, location=0)"
0ABOVW,실시간 공기질 모니터링 보여주세요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공간마다 공기 모니터링 확인이 필요해,"<function_IO>(timeframe=0, location=0)"
0ABOVW,방별 공기 모니터링 확인 화면으로 바꿔주세요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,실시간 공기질 모니터링 화면 보여줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기질 모니터링 어때,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기 모니터링 화면 보여줄래,"<function_IO>(timeframe=0, location=0)"
0ABOVW,저쪽 공기 상태는 어때,"<function_IO>(timeframe=0, location=0)"
0ABOVW,지금 공기질 모니터링 상태 알려주실래요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,실시간 공기질 모니터링 상황을 보고 싶어,"<function_IO>(timeframe=0, location=0)"
0ABOVW,오늘 공기 모니터링 화면 띄워줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,실시간 공기질 모니터링 어때,"<function_IO>(timeframe=0, location=0)"
0ABOVW,지금 공기질 모니터링 확인 필요해,"<function_IO>(timeframe=0, location=0)"
0ABOVW,오늘 공기질 상태 화면 보여줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,현재 공기질 모니터링 상태 알려주겠어,"<function_IO>(timeframe=0, location=0)"
0ABOVW,지금 공기질 모니터링 상황 알고 싶어,"<function_IO>(timeframe=0, location=0)"
0ABOVW,구역별 공기 상태 모니터링 하게 도와줄래,"<function_IO>(timeframe=0, location=0)"
0ABOVW,구역별 공기질 모니터링 상황 보여줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기질 모니터링 화면 보여줄래,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공간별 미세먼지 어때,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공간별 공기질 모니터링 수치 확인해줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기 모니터링 화면 띄워주세요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,오늘 공기질 모니터링 어떤지 알려줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,현재 공기질 모니터링 결과 띄워봐,"<function_IO>(timeframe=0, location=0)"
0ABOVW,오늘 마스크 써야 할 정도로 공기 안 좋을까,"<function_IO>(timeframe=0, location=0)"
0ABOVW,현재 이 곳의 피엠텐 농도는 얼마야,"<function_IO>(timeframe=0, location=0)"
0ABOVW,현재 공기질 모니터링 기능 보여줘요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,여기 공기질 모니터링 상태를 화면에 나타내줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,구역마다 공기질 모니터링 대시보드 띄워주세요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,방마다 공기질 모니터링 화면으로 전환해줘요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,오늘 공기질 모니터링 상태 알려주실래요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,오늘 공기질 모니터링 확인하게 해줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공간별 공기 모니터링 상태 화면 보여줄래,"<function_IO>(timeframe=0, location=0)"
0ABOVW,지금 공기질 모니터링 어떤지 알려줘요,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기질 모니터링 화면으로 바꿔줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기질 모니터링 어떤지 알려줘,"<function_IO>(timeframe=0, location=0)"
0ABOVW,현재 공기질 모니터링 상황은 어때,"<function_IO>(timeframe=0, location=0)"
0ABOVW,오늘 공기질 모니터링 화면 보여줄래,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기질 모니터링 상태 알려주겠어,"<function_IO>(timeframe=0, location=0)"
0ABOVW,나서 현재 공기질 모니터링 상황은 어때,"<function_IO>(timeframe=0, location=0)"
0ABOVW,공기질 모니터링 상황은 어때,"<function_IO>(timeframe=0, location=0)"
0ABOVW,장소마다 공기 상태 모니터링 상황 보여줄 수 있어,"<function_IO>(timeframe=0, location=0)"
0ABOVW,현 시점 광진구 대기 상태 알려줘,"<function_IO>(timeframe=0, location=광진구)"
0ABOVW,지금 그라츠 공기질 지수를 화면에 보여줘,"<function_IO>(timeframe=0, location=그라츠)"
0ABOVW,지금 나이로비 공기질 나쁘게 느껴져,"<function_IO>(timeframe=0, location=나이로비)"
0ABOVW,현재 나폴리 대기질 지수는 몇이에요,"<function_IO>(timeframe=0, location=나폴리)"
0ABOVW,노량진에 오늘 대기오염 심해,"<function_IO>(timeframe=0, location=노량진)"
0ABOVW,지금 노원구 공기질 좀 알려줄래,"<function_IO>(timeframe=0, location=노원구)"
0ABOVW,현재 뉴델리 초미세먼지 농도 몇이야,"<function_IO>(timeframe=0, location=뉴델리)"
0ABOVW,오늘 도쿄에서 마스크 써야 할 정도로 공기가 안 좋아,"<function_IO>(timeframe=0, location=도쿄)"
0ABOVW,오늘 두바이 미세먼지 상황 안내해줘,"<function_IO>(timeframe=0, location=두바이)"
0ABOVW,마라케시 질소산화물 수준이 어떻게 되나요,"<function_IO>(timeframe=0, location=마라케시)"
0ABOVW,현재 맨해튼 미세먼지 수치를 화면에 보여줘,"<function_IO>(timeframe=0, location=맨해튼)"
0ABOVW,오늘 멕시코시티 공기질 상태에 맞춰 창문 열어도 될까,"<function_IO>(timeframe=0, location=멕시코시티)"
0ABOVW,오늘 모스크바에서 창문 닫아야 할까,"<function_IO>(timeframe=0, location=모스크바)"
0ABOVW,몬테비데오 포름알데히드 수준이 어떤지 알려줘,"<function_IO>(timeframe=0, location=몬테비데오)"
0ABOVW,오늘 무주 공기질 상태를 보여줘,"<function_IO>(timeframe=0, location=무주)"
0ABOVW,뭄바이 대기 상태 어떤지 말해줘요,"<function_IO>(timeframe=0, location=뭄바이)"
0ABOVW,현재 방콕 공기질 알려주세요,"<function_IO>(timeframe=0, location=방콕)"
0ABOVW,지금 베이징 공기는 어때,"<function_IO>(timeframe=0, location=베이징)"
0ABOVW,브리지타운 대기질 지수가 몇인지 알려줘,"<function_IO>(timeframe=0, location=브리지타운)"
0ABOVW,상주 공기질 나빠,"<function_IO>(timeframe=0, location=상주)"
0ABOVW,서울 지금 공기 상태 화면,"<function_IO>(timeframe=0, location=서울)"
0ABOVW,오늘 센프란시스코 미세먼지 농도는 얼마야,"<function_IO>(timeframe=0, location=센프란시스코)"
