Index,Query(한글),LLM Output
0ABOVW,월요일 자카르타 대기질을 화면에 보여줘,"<function_IO>(timeframe=3, location=자카르타)"
0ABOVW,자격증 준비하고 있니,<function_MR>()
0ABOVW,음성인식 켜져있어,<function_QT>(get=True)
0ABOVW,저는 음악을 듣는 걸 좋아해요,<function_MR>()
0ABOVW,화요일 일산 날씨 알려줘,"<function_MO>(timeframe=4, location=""일산"")"
0ABOVW,지금 에이아이 모드 둘 다 작동시켜 주세요,"<function_BP>(enable=0, type=2)"
0ABOVW,화요일 산티아고 날씨 어때,"<function_MO>(timeframe=4, location=""산티아고"")"
0ABOVW,이 책 정말 재밌어,<function_MR>()
0ABOVW,어린이가 주의해야 하는 사항을 알려죠,<function_DW>(type=1)
0ABOVW,유기화합물은 어떤 거야,<function_HW>(type=3)
0ABOVW,이제 그만 복귀해,<function_KI>()
0ABOVW,밝기를 일로 조정해줘,<function_WN>(brightness=1)
0ABOVW,고정 청정 온,<function_PG>()
0ABOVW,센서 감도를 민감으로 바꿔줄래,<function_QD>(type=2)
0ABOVW,유부이 살균 에릴디 실행해줘 ,<function_NN>(enable=True)
0ABOVW,오늘 저녁은 샐러드로 가볍게 먹을까,<function_MR>()
0ABOVW,공기청정 소요시간이 얼마였어,<function_CE>()
0ABOVW,내일은 조금 더 부지런하게 보내야겠어 할 일이 많아,<function_MR>()
0ABOVW,다음 달에 있을 콘서트를 기대하고 있어 정말 재밌을 것 같아,<function_MR>()
0ABOVW,토요일 세종시 날씨 더울까,"<function_MO>(timeframe=8, location=""세종시"")"
0ABOVW,온도 단위 화씨로 바꿔줄래,<function_EW>(type=1)
0ABOVW,제주도 여행 가봤어,<function_MR>()
0ABOVW,설정이 가능한 언어 종류 뭐야,<function_JS>(type=8)
0ABOVW,감지 감도 보통으로 맞출래,<function_QD>(type=1)
0ABOVW,에이아이 모드에서 실외 대기질 정보 연동 켜주세요,"<function_BP>(enable=0, type=0)"
0ABOVW,내일 아부다비 날씨 안내해줘,"<function_MO>(timeframe=1, location=""아부다비"")"
0ABOVW,앤트워프의 월요일 날씨 전망을 표시해주세요,"<function_MO>(timeframe=3, location=""앤트워프"")"
0ABOVW,새로 시작한 취미가 너무 재미있어서 시간 가는 줄 모르겠어,<function_MR>()
0ABOVW,현재 판교 공기질 알려주세요,"<function_IO>(timeframe=0, location=판교)"
0ABOVW,새로 시작한 운동이 뭐야,<function_MR>()
0ABOVW,청정 켜봐,<function_PG>()
0ABOVW,음성을 남자로 전환해줄래,<function_GQ>(gender=2)
0ABOVW,이번 달은 너무 바빠서 친구들 만날 시간이 없었어,<function_MR>()
0ABOVW,풍량 강풍으로 바꿔줘,<function_NK>(speed=3)
0ABOVW,풍량을 조금 줄여주세요,<function_NK>(speed=-1)
0ABOVW,고정 공기 청정 실행해줘,<function_PG>()
0ABOVW,밝기를 2로 조정해줘,<function_WN>(brightness=2)
0ABOVW,음량을 영으로 설정해줘,<function_ZV>(volume=0)
0ABOVW,처음 위치로 돌아가주면 좋겠어,<function_KI>()
0ABOVW,엘이디를 팔십프로로 바꿔줘,<function_WN>(brightness=4)
0ABOVW,월요일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=3, location=""0"")"
0ABOVW,오늘 저녁은 뭘 먹을지 고민 중이야 배는 고픈데 딱히 생각나는 게 없어,<function_MR>()
0ABOVW,내일 중요한 발표가 있는데 너무 긴장 돼 잘해야 할 텐데,<function_MR>()
0ABOVW,청정 결과 보고서 보여줘,<function_CE>()
0ABOVW,웰컴 기능이 뭐야,<function_EN>(type=4)
0ABOVW,요즘 읽고 있는 책이 정말 흥미로워,<function_MR>()
0ABOVW,스캐닝 공기청정 종료,<function_IH>(scan=False)
0ABOVW,상단 화면에 대해 설명해 줘,<function_JS>(type=7)
0ABOVW,목요일 워르소 날씨에 눈 오니,"<function_MO>(timeframe=6, location=""워르소"")"
0ABOVW,새로운 가방을 사고 싶은데 어떤 게 좋을까 고민 중이야,<function_MR>()
0ABOVW,월요일 하얼빈 날씨 알려줘,"<function_MO>(timeframe=3, location=""하얼빈"")"
0ABOVW,화면 밝기를 4단계로 조정해줄래,<function_WN>(brightness=4)
0ABOVW,요즘 스트레스를 너무 많이 받아서 운동으로 풀려고 해,<function_MR>()
0ABOVW,현재 공기질 모니터링 어떤지 알려줘,"<function_IO>(timeframe=0, location=""0"")"
0ABOVW,아지트 청정 모드 가동해봐,"<function_FF>(position=""아지트"")"
0ABOVW,이번 주말에는 그냥 집에서 편하게 쉬고 싶어,<function_MR>()
0ABOVW,주말 나이로비 날씨 더워,"<function_MO>(timeframe=2, location=""나이로비"")"
0ABOVW,지금 공기질 모니터링 상태 확인하게 해주세요,"<function_IO>(timeframe=0, location=""0"")"
0ABOVW,화요일 마르세유 날씨 알려주세요,"<function_MO>(timeframe=4, location=""마르세유"")"
0ABOVW,설계실에서 청정해보실래요,"<function_FF>(position=""설계실"")"
0ABOVW,릴렉스 모드의 특징에 대해 알려주세요,<function_EN>(type=6)
0ABOVW,이번 주말에는 그냥 집에서 푹 쉬려고 해,<function_MR>()
0ABOVW,풍량을 낮춰주세요,<function_NK>(speed=-1)
0ABOVW,음성인식 기능 활성화 해줘,<function_QT>(enable=True)
0ABOVW,효과음을 이단계로 설정해줘,<function_ZV>(volume=2)
0ABOVW,엘이디 밝기가 몇프로야,<function_WN>(get=True)
0ABOVW,이 음악 들어봤어,<function_MR>()
0ABOVW,전체 공간 청정 해줘,<function_EF>(action=1)
0ABOVW,선택한 구역 청정 시작해볼게,<function_FF>(position=-1)
0ABOVW,월요일 멜버른 날씨 몇 도일까,"<function_MO>(timeframe=3, location=""멜버른"")"
0ABOVW,공기질 모니터링 상황 좀 보여줄래,"<function_IO>(timeframe=0, location=""0"")"
0ABOVW,좋아하는 책이 뭐야,<function_MR>()
0ABOVW,오늘은 아무것도 하기 싫어서 그냥 집에 있을래,<function_MR>()
0ABOVW,프라이버시 모드 중지해줘,<function_GN>(enable=False)
0ABOVW,볼륨 일로 해줘,<function_ZV>(volume=1)
0ABOVW,충전하러 복귀,<function_KI>()
0ABOVW,음소거 되어있나요,<function_MV>(get=True)
0ABOVW,다음 주에 있을 모임 준비를 미리 해둬야겠어,<function_MR>()
0ABOVW,새로 개봉한 영화 봐야겠어,<function_MR>()
0ABOVW,일정을 잘못 짜서 오늘 하루 종일 바쁘게 움직였어,<function_MR>()
0ABOVW,커피 한 잔 마시러 갈래,<function_MR>()
0ABOVW,공기질 상태 표시 작동 중인지 알려줘,<function_SC>(get=True)
0ABOVW,지금 밝기 몇단계야,<function_WN>(get=True)
0ABOVW,효과음을 5단계로 바꿔줘,<function_ZV>(volume=5)
0ABOVW,나 쪽으로 돌려줄래,<function_FR>()
0ABOVW,일요일 날씨 몇 도야,"<function_MO>(timeframe=9, location=""0"")"
0ABOVW,새로 나온 영화 예고편 봤어 되게 재밌어 보이더라,<function_MR>()
0ABOVW,수요일 나폴리 공기질 때문에 마스크 써야 할까,"<function_IO>(timeframe=5, location=나폴리)"
0ABOVW,프라이버시 상태 확인해줘,<function_GN>(get=True)
0ABOVW,월요일 공기질 상태 알려줘,"<function_IO>(timeframe=3, location=""0"")"
0ABOVW,목요일 슈투트가르트 날씨 어때요,"<function_MO>(timeframe=6, location=""슈투트가르트"")"
0ABOVW,스테이션 위치로 복귀하세요,<function_KI>()
0ABOVW,일요일 미세먼지 정보 보여줘,"<function_IO>(timeframe=9, location=""0"")"
0ABOVW,엘이디 아이에 대해 설명해 줘,<function_JS>(type=7)
0ABOVW,화면에 있는 에러코드를 설명해줘,<function_UY>()
0ABOVW,내일 중요한 미팅 있어,<function_MR>()
0ABOVW,바람 강도 자동으로 맞춰줘,<function_NK>(speed=0)
0ABOVW,오늘 하루가 너무 바빴어 이제 좀 쉬고 싶어,<function_MR>()
0ABOVW,제 방향으로 돌려주실래요,<function_FR>()
0ABOVW,내일은 일찍 일어나서 하루를 길게 써볼 생각이야,<function_MR>()
0ABOVW,이번 달은 정신없이 바빠서 친구들 만날 시간이 없었어,<function_MR>()
0ABOVW,고정 공기 청정 가동 시작해줘,<function_PG>()
0ABOVW,나서 하이나무 남자로 설정해주세요,<function_GQ>(gender=2)
0ABOVW,유부이 에릴디 작동 중이야,<function_NN>(get=True)
0ABOVW,다음 달에 있을 중요한 발표를 준비 중이야,<function_MR>()
0ABOVW,오늘 할 일 많아,<function_MR>()
0ABOVW,고정 공청 기능 켜줘,<function_PG>()
0ABOVW,월요일 카이로 날씨 알려줘,"<function_MO>(timeframe=3, location=카이로)"
0ABOVW,다음 달에 있을 시험 준비를 열심히 해야 할 것 같아,<function_MR>()
0ABOVW,섭씨 단위가 편해요,<function_EW>(type=0)
0ABOVW,주말 루체른 날씨가 어떤가요,"<function_MO>(timeframe=2, location=""루체른"")"
0ABOVW,금요일 날씨 말해줘요,"<function_MO>(timeframe=7, location=""0"")"
0ABOVW,새로운 요리법 배웠어,<function_MR>()
0ABOVW,공기질 상태 표시 켜져있어,<function_SC>(get=True)
0ABOVW,엘이디 화면밝기를 사단계로 설정해줘,<function_WN>(brightness=4)
0ABOVW,새로 나온 레스토랑 가봤어,<function_MR>()
0ABOVW,그림방에서 공기청정 해보면 좋겠어,"<function_FF>(position=""그림방"")"
0ABOVW,배터리 잔량이 얼마인지 확인해줘,<function_JJ>()
0ABOVW,넌 무슨 음식을 좋아해,<function_MR>()
0ABOVW,현재 해운대 공기질 상황 어때,"<function_IO>(timeframe=0, location=""해운대"")"
0ABOVW,넌 어떻게 생각해,<function_MR>()
0ABOVW,유브이 살균 엘이디 좀 켜줘,<function_NN>(enable=True)
0ABOVW,매너모드 켜줘,<function_ZX>(enable=True)
0ABOVW,다음 주에 있을 약속이 취소돼서 좀 아쉽다,<function_MR>()
0ABOVW,수요일 날씨 알려줘,"<function_MO>(timeframe=5, location=""0"")"
0ABOVW,주말 포항 날씨 어때,"<function_MO>(timeframe=2, location=""포항"")"
0ABOVW,요즘 들어 일찍 자고 일찍 일어나니까 기분이 상쾌해,<function_MR>()
0ABOVW,새로 시작한 다이어트가 생각보다 힘드네,<function_MR>()
0ABOVW,목요일 남원 날씨 좀 알려줄래,"<function_MO>(timeframe=6, location=""남원"")"
0ABOVW,어떤 영화가 좋을까,<function_MR>()
0ABOVW,주말에 계획 있어,<function_MR>()
0ABOVW,일요일 미세먼지 농도 어때,"<function_IO>(timeframe=9, location=""0"")"
0ABOVW,집에서 할 수 있는 운동 추천해 줄 수 있어,<function_MR>()
0ABOVW,주말 공기질 지수를 화면에 보여줘,"<function_IO>(timeframe=2, location=""0"")"
0ABOVW,테마를 실내 공기질로 설정해줘,<function_HG>(theme=2)
0ABOVW,중구 주말 날씨 알려줘,"<function_MO>(timeframe=2, location=""중구"")"
0ABOVW,목요일 광진구 공기질 걱정해야 할까,"<function_IO>(timeframe=6, location=광진구)"
0ABOVW,다음 달에 친구랑 여행 갈 계획 세우고 있어,<function_MR>()
0ABOVW,기기 언어 한국어로 바꿔줘,<function_HS>(type=1)
0ABOVW,매너모드 작동시켜줘,<function_ZX>(enable=True)
0ABOVW,자기계발서 추천해줄래,<function_MR>()
0ABOVW,월요일 익산 날씨 좀 알려주세요,"<function_MO>(timeframe=3, location=""익산"")"
0ABOVW,금요일 화성 날씨 알려줘,"<function_MO>(timeframe=7, location=""화성"")"
0ABOVW,요즘 뭐하고 있는지 말해봐,<function_MR>()
0ABOVW,오늘 저녁은 간단하게 파스타나 만들어 먹어야겠어,<function_MR>()
0ABOVW,대기화면이 기본 테마로 설정됐어,<function_HG>(get=True)
0ABOVW,오늘 하루가 너무 길어서 이제 좀 쉬고 싶어,<function_MR>()
0ABOVW,동호회방 청정 작동시켜줄래,"<function_FF>(position=""동호회방"")"
0ABOVW,새로 산 자전거를 타고 근처 공원을 돌면 좋을 것 같아,<function_MR>()
0ABOVW,이번에 여행 가서 사진 많이 찍자,<function_MR>()
0ABOVW,이번 주말에 뭐 할 계획 있어,<function_MR>()
0ABOVW,나서 엘이디 밝기를 40프로로 설정해줘,<function_WN>(brightness=2)
0ABOVW,내일은 뭐 할 계획이야,<function_MR>()
0ABOVW,오늘 저녁으로 뭐 먹을지 아직도 고민 중이야,<function_MR>()
0ABOVW,언어 바꿔줘,<function_HS>(type=2)
0ABOVW,나서 센서 민감도 상태 알려주세요,<function_QD>(get=True)
0ABOVW,엘씨디 조도를 삼단계로 맞춰줄래,<function_WN>(brightness=3)
0ABOVW,소리 볼륨을 사로 맞춰줘,<function_ZV>(volume=4)
0ABOVW,이번 주에 할 일이 많아서 큰일이야,<function_MR>()
0ABOVW,출입구측에서 공기청정해줄 수 있어요,"<function_FF>(position=""출입구측"")"
0ABOVW,일요일 공기질 상태 알려줘,"<function_IO>(timeframe=9, location=""0"")"
0ABOVW,오늘은 하루 종일 비가 와서 기분이 축 처지네,<function_MR>()
