sample_no,row_id,func,raw_args,call_order,source_index,query,fill_reason
1,439,BP,get=True,1,1NAVMX,청정 켜봐 또 공간별 누적 대기질 정보 연동 작동 중인가요,unique_all
2,4,BP,"enable=0, type=2",0,0ALMTU,지금 에이아이 모드 둘 다 작동시켜 주세요,unique_all
3,19,BP,"enable=0, type=0",0,0BOJBS,에이아이 모드에서 실외 대기질 정보 연동 켜주세요,unique_all
4,144,BP,"enable=1, type=1",1,0LDFUB,오랜만에 부모님과 시간을 보내려고 계획 중이야 그리고 에이아이 모드에서 공간별 누적 공기질 정보 연동 꺼주세요,unique_all
5,231,BP,"enable=0, type=1",1,0RYLDI,오늘은 무슨 일을 해야 할지 모르겠어 그냥 쉬고 싶어 그 다음에 에이아이 모드의 공간별 공기질 데이터 연동 상태로 바꿔줘,unique_all
6,417,BP,"enable=1, type=0",0,1JZMTA,실외 공기질 정보 연결 설정을 꺼줄래요 그러고 나서 다음 주말에 부모님과 시간을 보낼까 생각 중이야,unique_all
7,447,BP,"enable=1, type=2",1,1NTZAN,고정 공청 기능 켜줘 그리고 혹시 에이아이 모드 동시에 꺼주실 수 있나요,unique_all
8,245,BP,"enable=0, type=-1",0,0TTMRN,당장 에이아이 모드 온 하도록 도와줄거지,unique_all
9,420,BP,"enable=1, type=-1",0,1KKZGA,바로 에이아이 기능 종료,unique_all
10,323,BP,"enable=0, type=1",1,1BXVYX,고정 공청 기능 켜줘 그리고 공간별 공기질 이력 연동 설정을 켜줄래요,fill_duplicate
1,333,BS,enable=True,1,1CUPEZ,고정 공기 청정 가동 시작해줘 그 다음에 나이트 모드 시작할래,unique_all
2,723,BS,enable=False,1,2PDLTR,고정 공청 기능 켜줘 그러고 나서 나이트 모드 비활성화해줘,unique_all
3,526,BS,enable=True,0,1UNYXM,고스트 모드 설정해주세요 그러고 나서 오늘 하루는 그냥 아무것도 안 하고 싶어,fill_duplicate
4,560,BS,enable=True,0,1YKPJF,어두운 모드로 바꿔줘,fill_duplicate
5,926,BS,enable=False,0,3IHJRD,고스트 모드 종료해주세요 그리고 주말에 뭐 할지 아직 정하지 못했어 그냥 집에 있을까 생각 중이야,fill_duplicate
6,1078,BS,enable=True,0,3XHJTV,고스트 모드 켜줘,fill_duplicate
7,1167,BS,enable=True,0,4EUGLD,고스트 모드 실행해줘,fill_duplicate
8,1212,BS,enable=False,1,4IOTZL,고정 청정 온 또 방해 금지 모드 중단할게,fill_duplicate
9,1358,BS,enable=False,0,4WHWLT,고스트 모드 중지해줘,fill_duplicate
10,1482,BS,enable=False,1,5HMRPG,이번에 새로 나온 스마트폰이 정말 좋다는데 살까 말까 고민이네 그리고 나이트 모드 꺼줘,fill_duplicate
1,12,CE,,0,0AWJDL,공기청정 소요시간이 얼마였어 그리고 내일은 조금 더 부지런하게 보내야겠어 할 일이 많아,fill_empty
2,33,CE,,1,0CSGIE,내일 중요한 발표가 있는데 너무 긴장 돼 잘해야 할 텐데 그리고 청정 결과 보고서 보여줘,fill_empty
3,196,CE,,0,0PSHSU,청정 리포트 보여줘,fill_empty
4,361,CE,,0,1FJVOR,청정 상태 보고서 보여줘,fill_empty
5,568,CE,,0,1ZCZNQ,쳥정 리포트 보고싶어,fill_empty
6,821,CE,,1,2XXMAC,고정 청정 온 이어서 청정 결과 미세먼지 농도 알려줘,fill_empty
7,890,CE,,0,3EPOQJ,청정 결과 확인할래,fill_empty
8,1028,CE,,0,3SEEKU,청정 결과 알려줘,fill_empty
9,1620,CE,,0,5UOWDC,청정 결과 미세먼지 농도 알려줘 그리고 이번 주말에는 오랜만에 영화를 보러 가려고 해,fill_empty
10,1879,CE,,1,6QBPAS,고정 공기 청정 가동 시작해줘 그러고 나서 공기청정 언제 끝났니,fill_empty
1,661,CK,,0,2ICCSB,내 뒤를 따라와 그 다음에 이번 주말에는 가족들이랑 시간을 보내기로 했어,fill_empty
2,674,CK,,1,2IYUPE,고정 공기 청정 실행해줘 그러고 나서 팔로미,fill_empty
3,900,CK,,0,3FSGIP,나 따라올래,fill_empty
4,1065,CK,,1,3VLZCC,고정 공청 기능 켜줘 그러고 나서 팔로미,fill_empty
5,1280,CK,,1,4OYHRU,내일 아침에 일찍 일어나서 운동을 해볼까 생각 중이야 그 다음에 팔로미,fill_empty
6,1322,CK,,1,4SNOII,다음 주에는 더 열심히 일해야겠어 할 일이 많아 그 다음에 저를 향해 이동해주실래요,fill_empty
7,1804,CK,,0,6JEAWC,나 따라와줘요,fill_empty
8,1925,CK,,1,6TBVSG,청정 켜봐 그리고 여기로 따라와주세요,fill_empty
9,2140,CK,,0,7MWFFW,나를 따라와 줄래?,fill_empty
10,2750,CK,,0,9PPQMO,나 따라와,fill_empty
1,252,CS,type=1,0,0UPWCI,일반적으로 기기 설치 어디다가 하는 게 좋아,unique_all
2,575,CS,type=2,0,2AADIF,공기청정기 몇 대 정도 있어야 가장 좋을까요?,unique_all
3,1106,CS,type=3,0,3ZNYEZ,에어 센서 대체 어디에 두는 게 좋을까요,unique_all
4,1090,CS,type=2,0,3YMZIP,이 공간에 공기청정기 몇 대 정도 둬야할까?,fill_duplicate
5,1199,CS,type=2,0,4HDPSK,이 공기청정기를 몇 대 두는 게 좋을지 잘 모르겠어.,fill_duplicate
6,1585,CS,type=3,0,5RCFQI,에어 센서 놓기에 가장 쾌적한 곳이 어디라 생각하니,fill_duplicate
7,1663,CS,type=2,0,5YKPLC,공기청정기 몇 대가 있는 게 제일 이상적이야?,fill_duplicate
8,1737,CS,type=1,0,6DPQDX,이 기기 어디에 설치하면 돼,fill_duplicate
9,2050,CS,type=1,0,7DKVBA,이 기기 어디에다가 설치하면 되는거야,fill_duplicate
10,2259,CS,type=1,0,7VTEQG,공기청정기 설치 위치로 어디가 좋을까,fill_duplicate
1,7,DW,type=1,0,0ARBCO,어린이가 주의해야 하는 사항을 알려죠,unique_all
2,294,DW,type=4,0,0ZIUPD,이 기계 사용 시 어떤 거 조심해야 해,unique_all
