Index,Query(한글),LLM Output
0ABOVW,월요일 자카르타 대기질을 화면에 보여줘 다음으로 자격증 준비하고 있니,"<function_IO>(timeframe=3, location=자카르타);<function_MR>()<end>"
0AHOUT,음성인식 켜져있어,<function_QT>(get=True)<end>
0AIWYM,저는 음악을 듣는 걸 좋아해요,<function_MR>()<end>
0AKHYG,화요일 일산 날씨 알려줘,"<function_MO>(timeframe=4, location=""일산"")<end>"
0ALMTU,지금 에이아이 모드 둘 다 작동시켜 주세요,"<function_BP>(enable=0, type=2)<end>"
0ANWQP,화요일 산티아고 날씨 어때,"<function_MO>(timeframe=4, location=""산티아고"")<end>"
0AOMIK,이 책 정말 재밌어,<function_MR>()<end>
0ARBCO,어린이가 주의해야 하는 사항을 알려죠,<function_DW>(type=1)<end>
0ARLFI,유기화합물은 어떤 거야,<function_HW>(type=3)<end>
0ASWQQ,이제 그만 복귀해 밝기를 일로 조정해줘,<function_KI>();<function_WN>(brightness=1)<end>
0AUYXL,고정 청정 온 다음으로 센서 감도를 민감으로 바꿔줄래,<function_PG>();<function_QD>(type=2)<end>
0AUZHX,유부이 살균 에릴디 실행해줘 그 후에 오늘 저녁은 샐러드로 가볍게 먹을까,<function_NN>(enable=True);<function_MR>()<end>
0AWJDL,공기청정 소요시간이 얼마였어 그리고 내일은 조금 더 부지런하게 보내야겠어 할 일이 많아,<function_CE>();<function_MR>()<end>
0AXBFG,다음 달에 있을 콘서트를 기대하고 있어 정말 재밌을 것 같아,<function_MR>()<end>
0AZGIR,토요일 세종시 날씨 더울까,"<function_MO>(timeframe=8, location=""세종시"")<end>"
0BCWRH,온도 단위 화씨로 바꿔줄래,<function_EW>(type=1)<end>
0BGMGY,제주도 여행 가봤어,<function_MR>()<end>
0BHLMI,설정이 가능한 언어 종류 뭐야,<function_JS>(type=8)<end>
0BNEWO,감지 감도 보통으로 맞출래,<function_QD>(type=1)<end>
0BOJBS,에이아이 모드에서 실외 대기질 정보 연동 켜주세요,"<function_BP>(enable=0, type=0)<end>"
0BQZFH,내일 아부다비 날씨 안내해줘,"<function_MO>(timeframe=1, location=""아부다비"")<end>"
